word	lemma	pos	wordfreq	lemfreq
killing	kill	v	38550	307305
kills	kill	v	11762	307305
minutes	minute	n	214678	306541
minute	minute	n	91856	306541
minuted	minute	n	6	306541
party	party	n	242877	304325
parties	party	n	61448	304325
include	include	v	126985	304197
included	include	v	91680	304197
includes	include	v	69205	304197
including	include	v	16327	304197
stand	stand	v	109655	303462
stood	stand	v	83842	303462
standing	stand	v	71447	303462
stands	stand	v	38518	303462
together	together	r	302942	302942
back	back	n	290437	302390
backs	back	n	11953	302390
follow	follow	v	105100	300266
followed	follow	v	87774	300266
following	follow	v	75047	300266
follows	follow	v	32345	300266
health	health	n	300245	300262
healths	health	n	17	300262
remember	remember	v	239542	298221
remembered	remember	v	32527	298221
remembers	remember	v	15284	298221
remembering	remember	v	10791	298221
re-member	remember	v	42	298221
remem-ber	remember	v	35	298221
often	often	r	295709	295709
reason	reason	n	207182	295577
reasons	reason	n	88395	295577
speak	speak	v	115795	295523
spoke	speak	v	66734	295523
speaking	speak	v	62470	295523
speaks	speak	v	26197	295523
spoken	speak	v	23909	295523
spake	speak	v	418	295523
ago	ago	r	294921	294921
set	set	v	238088	293144
setting	set	v	34265	293144
sets	set	v	20791	293144
black	black	j	292399	293101
blacker	black	j	372	293101
blackest	black	j	330	293101
members	member	n	191123	292596
member	member	n	101473	292596
community	community	n	233540	290489
communities	community	n	56949	290489
once	once	r	290446	290446
social	social	j	290372	290372
news	news	n	289175	289175
allow	allow	v	103001	288559
allowed	allow	v	97541	288559
allows	allow	v	49908	288559
allowing	allow	v	38109	288559
win	win	v	120577	288308
won	win	v	111441	288308
winning	win	v	39182	288308
wins	win	v	17108	288308
body	body	n	239952	287817
bodies	body	n	47865	287817
led	lead	v	112363	285740
lead	lead	v	88324	285740
leading	lead	v	45581	285740
leads	lead	v	39472	285740
continue	continue	v	139943	282352
continues	continue	v	62935	282352
continued	continue	v	61732	282352
continuing	continue	v	17742	282352
whether	whether	c	280973	280973
enough	enough	r	280789	280789
spent	spend	v	126462	280371
spend	spend	v	98601	280371
spending	spend	v	42803	280371
spends	spend	v	12505	280371
level	level	n	179229	279770
levels	level	n	100541	279770
able	able	j	279559	279559
political	political	j	279410	279410
almost	almost	r	279393	279393
boy	boy	n	174960	279283
boys	boy	n	103479	279283
boyz	boy	n	844	279283
university	University	n	256092	279132
universities	University	n	23040	279132
before	before	c	276286	276286
stay	stay	v	192705	275504
stayed	stay	v	39808	275504
staying	stay	v	30623	275504
stays	stay	v	12368	275504
add	add	v	116975	275233
added	add	v	84161	275233
adding	add	v	40691	275233
adds	add	v	33406	275233
later	later	r	274178	274178
change	change	n	161045	274132
changes	change	n	113085	274132
five	five	m	269427	270274
fives	five	m	847	270274
probably	probably	r	269732	269732
center	center	n	223995	268821
centers	center	n	32519	268821
centre	center	n	10949	268821
centres	center	n	1358	268821
among	among	i	267798	267798
face	face	n	233958	266458
faces	face	n	32500	266458
public	public	j	265061	265061
died	die	v	122342	264537
die	die	v	103062	264537
dying	die	v	25370	264537
